RegionID,SizeRank,RegionName,RegionType,StateName,1/31/2017,2/28/2017,3/31/2017,4/30/2017,5/31/2017,6/30/2017,7/31/2017,8/31/2017,9/30/2017,10/31/2017,11/30/2017,12/31/2017,1/31/2018,2/28/2018,3/31/2018,4/30/2018,5/31/2018,6/30/2018,7/31/2018,8/31/2018,9/30/2018,10/31/2018,11/30/2018,12/31/2018,1/31/2019,2/28/2019,3/31/2019,4/30/2019,5/31/2019,6/30/2019,7/31/2019,8/31/2019,9/30/2019,10/31/2019,11/30/2019,12/31/2019,1/31/2020,2/29/2020,3/31/2020,4/30/2020,5/31/2020,6/30/2020,7/31/2020,8/31/2020,9/30/2020,10/31/2020,11/30/2020,12/31/2020,1/31/2021,2/28/2021,3/31/2021,4/30/2021,5/31/2021,6/30/2021,7/31/2021,8/31/2021,9/30/2021,10/31/2021,11/30/2021,12/31/2021,1/31/2022,2/28/2022,3/31/2022,4/30/2022,5/31/2022,6/30/2022,7/31/2022,8/31/2022,9/30/2022,10/31/2022,11/30/2022,12/31/2022,1/31/2023,2/28/2023,3/31/2023,4/30/2023,5/31/2023,6/30/2023
102001,0,United States,country,,248412,242309,349714,343512,422418,465033,400182,426887,361619,355959,323985,316395,247663,246437,342797,363590,424018,451711,419344,433971,339441,360179,318957,288700,229220,248074,321057,364837,429544,415965,428078,420112,356943,366511,312158,325618,256609,259857,331824,293987,285948,399286,478250,457570,459766,467788,399440,427138,311640,307038,415267,440117,444177,519051,482013,470790,436098,414396,398587,395967,292872,280599,369439,368396,389307,404384,345590,359278,324261,284249,239901,228149,172275,191837,263322,244268,294006,314639
394913,1,"New York, NY",msa,NY,12684,10703,12757,12277,14894,17888,16327,19165,15938,15440,14053,14333,12575,10568,12041,12869,14717,17364,17544,18764,14081,15401,13734,13400,11751,9652,11544,12329,14595,15774,17242,17584,14743,15133,12994,14365,13081,10935,11587,9369,9819,11961,14691,16968,17944,20194,17958,21002,17887,15186,18689,17111,16686,21293,20986,21474,18664,19054,17266,18203,16355,13049,15522,14647,15291,17491,16495,17017,14325,12738,11278,10490,8320,6904,8718,7878,9242,10165
753899,2,"Los Angeles, CA",msa,CA,6554,6163,9124,8345,10073,11112,9103,10415,9014,8713,8057,8078,6303,6191,9025,8687,9589,9870,9234,9653,7261,7969,6977,6543,5173,5492,7390,8386,9358,8830,9198,9329,8221,8597,7365,7857,6211,6255,7565,5499,4441,6697,9199,9275,9939,10087,8832,10030,7410,7164,10317,11024,10145,11256,10381,10026,9684,9408,8850,8882,6424,6391,9297,8972,8557,8344,6868,7126,6415,5503,4699,4416,3579,3866,5656,5071,6198,6623
394463,3,"Chicago, IL",msa,IL,6920,5989,9957,10568,13250,15168,12226,12750,10311,9611,8525,8299,6274,5848,9744,11899,14293,15517,13576,13510,10355,10718,9330,8099,6024,6343,8956,11007,13323,13412,13291,12385,10128,9968,8475,8630,6380,6549,9283,9480,8429,11014,14540,14450,14280,15518,12932,12823,10146,9619,12749,14060,14372,17462,16275,15740,13441,12200,11472,10659,8450,7241,9988,10673,11412,12423,10293,10270,9173,7749,6672,6102,4220,4266,6739,6602,7288,8056
394514,4,"Dallas, TX",msa,TX,5052,5733,7915,7684,9286,9730,8816,9194,7632,7253,6935,7031,5142,5979,7575,7738,9118,9209,8921,8893,6953,6938,6206,6312,4490,5805,7352,8118,9305,8502,9283,9001,7375,7382,6181,7271,5309,6253,7624,6427,6608,9787,11541,9994,9582,9321,7948,8857,5822,6094,8194,9113,9265,10253,9860,9885,9395,8742,8450,8461,5981,6165,7611,7594,8291,8370,7520,7867,6961,5903,4829,4753,3464,4878,6163,5917,7393,7072
394692,5,"Houston, TX",msa,TX,3707,4664,6193,5845,7093,7436,6557,5440,5972,5532,5298,5670,4010,4824,5921,6207,7227,7573,7020,7246,5563,5677,5056,5150,3458,4502,5934,6457,7483,6966,7615,7267,5829,5857,5143,5958,3906,4801,6055,4903,5114,7584,9114,7768,7642,7683,6568,7979,5146,4988,7622,8002,8362,9506,9132,8991,8287,7619,7195,7515,5508,6105,7970,7533,8164,8101,6890,6897,6174,5225,4301,4349,3317,4048,5672,5410,6470,6607
395209,6,"Washington, DC",msa,VA,5217,5173,7209,7738,9354,10333,8500,8249,6902,7054,6389,6112,4887,4869,6747,7727,9208,9868,8736,8198,6151,6855,6422,5977,4832,4936,6836,8066,9674,9264,8896,8200,6913,7380,6153,6639,5148,5319,7257,7003,6636,8650,9836,9559,9705,9936,8645,8884,6356,6878,9149,10835,11118,12696,11188,10583,9428,9386,9259,8549,5891,6047,8449,8773,9348,9251,7380,7270,6461,5708,4833,4492,3229,4175,5476,5522,6435,5969
394974,7,"Philadelphia, PA",msa,PA,4573,4012,5944,6171,7639,9155,7956,8040,6648,6456,6199,6062,4731,3830,5618,6299,7636,9354,8380,8236,6333,6646,6330,5714,4458,4202,5692,6479,7984,8543,8074,7812,6546,6372,5675,6114,4964,4374,5851,5215,4440,5886,8626,8847,8776,9415,8214,8586,6387,5748,7479,8021,8248,10854,10068,10475,9774,8918,8611,10775,8019,6096,7534,7298,7560,8699,7376,7745,6646,5750,5142,4857,3523,3592,4939,4793,4915,5333
394856,8,"Miami, FL",msa,FL,6349,6540,9457,8702,9808,9854,8409,9016,5979,7419,7039,7974,6611,6633,9176,9284,9454,9624,8646,8761,7033,7770,7122,6994,5669,6208,8400,9567,10345,8975,9485,8670,7811,7920,7066,8446,6784,6689,8952,6479,4963,7322,9705,9748,9580,10421,9174,11352,8472,9099,13187,13633,12672,14081,12345,11283,10203,9753,9796,10901,8715,8633,11648,11245,10429,9754,7763,7808,6840,6521,5595,5650,4410,5143,7792,6814,7588,6995
394347,9,"Atlanta, GA",msa,GA,5563,6232,9521,8785,10693,11249,9718,9937,8333,8390,7564,7578,5582,6473,9002,9361,10723,10629,10110,9795,8039,8237,7390,6765,5289,6626,8715,9380,10792,10013,10078,9509,8131,8337,6985,7848,5643,6904,8332,7284,7018,10018,11183,10642,10398,10483,8831,9721,6809,7488,10519,10843,10837,12310,11482,11005,9588,8962,9292,8675,6596,7276,9563,9046,9400,9114,7868,7754,7173,6205,5196,5301,3832,4954,6795,6149,6671,6216
